cardId,time,tx_type,tx_status,client_transaction_id,amount,nova_fee_usd,is_consumption_fee,is_nova_fee,is_create_card,is_admin
258947d6-0a8c-4804-8d08-0fb3621a48b5,2025-05-09 10:15:51.496000+00:00,TransferIn,Closed,TransferIn:9a0b6984-7f0e-4a72-82e0-5a9681b74e59,200.0,,0,0,0,1
258947d6-0a8c-4804-8d08-0fb3621a48b5,2025-05-09 10:25:21.934000+00:00,Consumption,Closed,tid_bKssgmaVb7,-17.94,0.0,0,0,0,1
258947d6-0a8c-4804-8d08-0fb3621a48b5,2025-05-09 10:25:22.796000+00:00,Fee_Consumption,Closed,tid_bKssgmaVb7_Fee_Consumption,-0.0,,1,0,0,0
a23d5378-e68a-4f2a-b7f2-289dcad3ee68,2025-05-09 10:35:34.720000+00:00,TransferIn,Closed,TransferIn:294f2025-6bda-4cbb-9839-e6e00f15fd1c,10.0,,0,0,0,1
a23d5378-e68a-4f2a-b7f2-289dcad3ee68,2025-05-09 10:36:12.183000+00:00,TransferOut,Closed,TransferOut:511d612a-7e56-43ac-92ba-5d98ae49f5b4,-10.0,,0,0,0,1
258947d6-0a8c-4804-8d08-0fb3621a48b5,2025-05-15 09:03:40.900000+00:00,Consumption,Closed,tid_Um7hsBv3EY,-92.45,0.0,0,0,0,1
258947d6-0a8c-4804-8d08-0fb3621a48b5,2025-05-20 13:07:48.726000+00:00,Consumption,Closed,tid_zUzSDSDy42,-11.13,0.0,0,0,0,1
258947d6-0a8c-4804-8d08-0fb3621a48b5,2025-05-20 13:07:49.526000+00:00,Fee_Consumption,Closed,tid_zUzSDSDy42_Fee_Consumption,-0.0,,1,0,0,0
d610fa5d-c6d1-4d13-928c-dc9969dbd115,2025-05-22 00:02:06.918000+00:00,TransferIn,Closed,TransferIn:295b90ec-bdd8-416e-b3c3-6e966a07a879,10.0,,0,0,0,1
d610fa5d-c6d1-4d13-928c-dc9969dbd115,2025-05-22 00:24:59.684000+00:00,TransferOut,Closed,TransferOut:6198124b-aa6c-4656-aecb-439a6a7cb6ac,-10.0,,0,0,0,1
d610fa5d-c6d1-4d13-928c-dc9969dbd115,2025-05-22 01:20:16.429000+00:00,TransferIn,Closed,TransferIn:82bf7eb1-cb11-4a34-ac25-5d72c5829df1,9.2,,0,0,0,1
d610fa5d-c6d1-4d13-928c-dc9969dbd115,2025-05-22 02:33:27.351000+00:00,TransferIn,Closed,TransferIn:52d0dc6c-acef-45d8-a1fe-21b4abeeffa8,20.0,,0,0,0,1
d610fa5d-c6d1-4d13-928c-dc9969dbd115,2025-05-22 03:06:13.318000+00:00,TransferOut,Closed,TransferOut:83642817-e503-4a80-96a2-538838ab5feb,-29.2,,0,0,0,1
d610fa5d-c6d1-4d13-928c-dc9969dbd115,2025-05-22 03:11:43.225000+00:00,TransferIn,Closed,TransferIn:b6390cb9-4457-417a-9ea2-3b789876ec54,20.96,,0,0,0,1
d610fa5d-c6d1-4d13-928c-dc9969dbd115,2025-05-22 03:23:27.300000+00:00,TransferIn,Closed,TransferIn:f683c921-783e-4703-a18e-a1f2e36dadbd,11.36,,0,0,0,1
9a31052f-6f23-4bfd-bedd-86c1910c2ce1,2025-05-23 09:12:44.754000+00:00,TransferIn,Closed,TransferIn:5e91b79c-b6c9-452c-80fc-62367b9bd1c9,10.0,,0,0,0,1
db4079c6-11ff-471c-847e-75b6e714dd2c,2025-05-23 09:21:44.275000+00:00,TransferIn,Closed,TransferIn:2e3818b8-fbad-4517-be0e-33506295a134,10.0,,0,0,0,1
ecde3f2b-ca1a-44ef-8098-29a1dae9914e,2025-05-23 09:27:17.668000+00:00,TransferIn,Closed,TransferIn:0ca7e14f-b0ee-412c-b6c5-4ef374e3feac,10.0,,0,0,0,1
ecde3f2b-ca1a-44ef-8098-29a1dae9914e,2025-05-23 09:27:24.732000+00:00,TransferOut,Closed,TransferOut:e6819d43-6567-4e3c-8ce0-2c64bf8e900a,-10.0,,0,0,0,1
ecde3f2b-ca1a-44ef-8098-29a1dae9914e,2025-05-23 09:38:32.747000+00:00,TransferIn,Closed,TransferIn:1525093c-1955-47b8-9462-6ccc54d0ab83,86.0,,0,0,0,1
